census_id,geoid,name,hh,hh_moe,hh_lt_10K,hh_lt_10K_moe,hh_10K_to_14999,hh_10K_to_14999_moe,hh_15K_to_19999,hh_15K_to_19999_moe,hh_20K_to_24999,hh_20K_to_24999_moe,hh_25K_to_29999,hh_25K_to_29999_moe,hh_30K_to_34999,hh_30K_to_34999_moe,hh_35K_to_39999,hh_35K_to_39999_moe,hh_40K_to_44999,hh_40K_to_44999_moe,hh_45K_to_49999,hh_45K_to_49999_moe,hh_50K_to_59999,hh_50K_to_59999_moe,hh_60K_to_74999,hh_60K_to_74999_moe,hh_75K_to_99999,hh_75K_to_99999_moe,hh_100K_to_124999,hh_100K_to_124999_moe,hh_125K_to_149999,hh_125K_to_149999_moe,hh_150K_to_199999,hh_150K_to_199999_moe,hh_200K_or_more,hh_200K_or_more_moe
0500000US36021,36021,"Columbia County, New York",25470,413,1301,209,1038,184,1262,192,1153,212,1263,230,1370,211,1089,187,912,162,1011,186,2116,259,2664,287,3647,294,2385,270,1347,173,1552,216,1360,181
0500000US36023,36023,"Cortland County, New York",17925,366,919,171,1149,206,891,158,928,154,767,123,1084,191,759,142,1049,185,987,178,1442,224,1939,237,2582,265,1243,161,848,157,811,155,527,123
0500000US36025,36025,"Delaware County, New York",19098,416,1363,229,1376,206,1321,195,1241,211,1117,165,982,174,837,136,821,130,832,165,1880,234,2144,257,2142,230,1566,215,684,127,404,96,388,92
0500000US36027,36027,"Dutchess County, New York",107384,835,4164,374,4424,452,3594,370,4096,399,4035,472,4046,429,3951,406,3878,381,3415,362,7308,531,10467,665,14603,801,12367,645,8039,501,10006,592,8991,471
0500000US36029,36029,"Erie County, New York",386371,1557,29307,980,23157,1175,20064,916,20206,768,18604,1007,19097,903,16940,778,17412,815,15225,708,29539,1148,38023,1210,48711,1221,34297,1062,20625,937,19665,832,15499,737
0500000US36031,36031,"Essex County, New York",15257,471,636,145,846,160,801,146,620,122,907,144,833,159,708,127,731,152,810,166,1314,197,1690,201,2294,245,1264,200,863,166,610,128,330,91
0500000US36033,36033,"Franklin County, New York",18956,396,1815,256,1351,219,1026,156,886,151,981,168,764,123,872,167,886,188,721,149,1725,213,2234,295,2529,274,1365,192,730,138,613,136,458,119
0500000US36035,36035,"Fulton County, New York",22535,449,1382,231,1275,198,1283,192,1525,295,1294,210,1512,228,1113,228,1212,236,1050,189,1996,291,2364,239,2437,284,1984,254,938,199,705,189,465,104
0500000US36037,36037,"Genesee County, New York",23951,267,1181,204,1497,238,1083,147,1265,201,1282,203,1152,189,1133,189,1397,194,1057,208,2010,288,2688,307,3405,306,2052,219,1196,192,1008,153,545,110
0500000US36039,36039,"Greene County, New York",17106,437,981,214,1021,185,943,191,848,217,1078,195,767,185,916,165,864,192,648,162,1343,213,1653,255,2331,259,1528,201,831,153,764,127,590,118
0500000US36041,36041,"Hamilton County, New York",1095,97,63,23,78,28,45,23,61,22,42,19,64,23,49,25,59,27,34,15,114,36,164,35,126,31,84,27,48,22,41,19,23,12
0500000US36043,36043,"Herkimer County, New York",25187,448,1523,245,1549,224,1680,228,1310,141,1442,211,1322,195,1416,175,1486,225,1059,179,2150,242,2832,248,3407,340,1934,242,980,150,638,116,459,129
0500000US36045,36045,"Jefferson County, New York",43206,653,2973,379,2348,281,1969,198,2212,264,2217,274,2350,300,2625,370,2473,313,2279,317,3876,351,4829,399,5524,381,3512,302,1927,214,1215,174,877,147
0500000US36047,36047,"Kings County, New York",944650,2565,95091,1891,66247,1673,49652,1637,48253,1321,41436,1415,42783,1266,39041,1457,37762,1336,31472,1133,60457,1612,81818,1537,102648,2214,74305,1598,48811,1237,57077,1275,67797,1639
0500000US36049,36049,"Lewis County, New York",10236,237,473,99,694,168,438,65,451,79,683,122,635,108,561,104,554,121,475,94,853,111,1122,134,1334,130,882,123,464,82,335,85,282,88
0500000US36051,36051,"Livingston County, New York",24432,369,1480,257,1285,231,1297,226,1290,219,1229,227,1254,251,1272,219,1281,243,995,190,2123,253,2546,282,3325,331,2566,277,1052,161,847,153,590,132
0500000US36053,36053,"Madison County, New York",26307,560,1443,208,1085,215,1224,237,1333,236,1395,265,1326,220,1205,202,998,172,1209,202,2339,265,2892,341,3643,318,2714,222,1382,211,1223,174,896,147
0500000US36055,36055,"Monroe County, New York",300496,1309,20725,918,16331,838,14567,695,15664,801,14739,844,14530,858,14353,813,14065,671,12138,695,23856,866,29452,1069,37354,1159,26696,947,15760,843,16243,726,14023,633
0500000US36057,36057,"Montgomery County, New York",19700,304,1513,196,1346,177,1307,217,1319,183,1179,196,885,145,933,143,1033,168,800,132,1651,221,2084,236,2350,245,1480,170,782,180,634,119,404,122
0500000US36059,36059,"Nassau County, New York",444136,1314,12929,716,9847,617,10981,684,12054,762,12045,762,10503,665,11579,817,11933,681,10567,709,21571,887,32823,1176,52798,1347,47821,1187,40339,1150,59430,1244,86916,1566
0500000US36061,36061,"New York County, New York",758345,3842,66351,2067,42706,1996,31140,1505,26793,1535,23930,1192,23920,1327,21611,1421,20577,1321,17101,1206,38374,1865,53102,2065,71132,2359,61913,2283,44381,1677,63019,2204,152295,2786
0500000US36063,36063,"Niagara County, New York",87978,878,5734,493,5104,505,5053,497,4765,436,4900,440,4794,438,4618,386,4124,432,3752,406,6575,504,9120,592,11366,582,7514,567,4463,413,3928,394,2168,295
0500000US36065,36065,"Oneida County, New York",90472,856,6082,537,5763,459,5093,461,5094,448,5198,457,4855,418,4519,328,3918,340,3585,327,7881,482,9697,528,11426,639,6803,504,4476,420,3494,322,2588,311
0500000US36067,36067,"Onondaga County, New York",185840,1160,13627,680,9454,588,8928,577,8359,581,8984,485,8475,557,8703,530,7345,523,8087,522,14420,638,19141,601,23771,927,16456,825,10960,621,10312,635,8818,526
0500000US36069,36069,"Ontario County, New York",44269,492,1683,245,1799,264,2020,298,2201,265,2096,249,2202,264,2054,310,2272,269,1728,223,3470,317,4553,374,6273,462,4436,377,2795,310,2442,294,2245,318
0500000US36071,36071,"Orange County, New York",126460,833,5981,531,4890,530,5027,537,4987,490,4333,448,4955,478,4865,426,4274,488,4133,438,8016,548,11677,649,16470,856,13977,727,10958,556,12091,710,9826,593
0500000US36073,36073,"Orleans County, New York",16214,368,940,219,886,207,1046,180,1109,228,992,173,689,145,889,156,1036,203,625,126,1698,253,1863,259,1903,201,1147,188,652,126,446,108,293,118
0500000US36075,36075,"Oswego County, New York",45881,534,3187,374,2404,303,2416,311,2128,225,2491,308,2654,294,2143,281,2723,318,2077,316,3772,386,4905,332,6298,418,3494,310,2400,275,1698,228,1091,155
0500000US36077,36077,"Otsego County, New York",23627,402,1567,219,1304,211,1145,160,1507,211,1264,170,1124,186,1241,195,1256,165,1072,150,2173,221,2586,254,2745,268,1974,209,951,145,1018,155,700,122
0500000US36079,36079,"Putnam County, New York",34316,490,734,191,616,177,1006,226,966,220,895,197,1104,232,1013,237,697,154,676,195,1826,281,3110,360,4601,426,3766,352,3459,377,4835,399,5012,420
0500000US36081,36081,"Queens County, New York",777904,2128,48997,1585,34723,1396,34986,1337,36549,1133,33987,1258,34160,1473,32463,1313,33253,1270,28960,1124,58227,1648,77863,1882,101944,2162,72447,1658,48744,1337,56521,1607,44080,1347
0500000US36083,36083,"Rensselaer County, New York",64456,518,3455,376,3161,378,2423,338,2812,360,3115,440,2951,401,2662,347,2856,371,2582,324,4751,480,6932,568,8746,570,6278,464,4394,385,4281,352,3057,283
0500000US36085,36085,"Richmond County, New York",166150,907,13199,749,6315,622,6158,490,6225,586,5588,568,5439,568,5408,522,5197,468,4730,510,9664,730,14073,852,20628,849,18070,768,13449,775,17099,847,14908,684
0500000US36087,36087,"Rockland County, New York",99935,605,3841,390,3660,387,3624,404,4045,410,3198,365,3108,323,2901,337,3159,395,2696,299,5796,559,7474,596,11497,685,10581,527,8177,443,11114,543,15064,618
0500000US36089,36089,"St. Lawrence County, New York",41638,547,2978,327,3001,340,2741,311,2544,309,2133,262,2452,323,1883,209,2062,273,1552,208,3928,379,4214,397,5595,343,3109,304,1452,201,1079,169,915,157
0500000US36091,36091,"Saratoga County, New York",93129,693,3104,370,2676,319,3318,426,3244,355,2803,307,3399,432,3205,396,3436,487,3573,394,6686,560,9635,678,13728,799,11327,669,7812,523,8344,602,6839,510
0500000US36093,36093,"Schenectady County, New York",53825,775,2803,353,3011,346,2513,316,2525,331,2490,349,2290,288,2147,257,2468,343,2109,259,4004,400,5497,447,7661,556,5410,383,3247,366,3444,328,2206,267
0500000US36095,36095,"Schoharie County, New York",12539,276,637,97,775,162,613,103,800,166,623,155,797,166,726,129,587,131,472,98,1106,128,1326,200,1714,196,974,136,535,111,513,101,341,93
0500000US36097,36097,"Schuyler County, New York",7444,218,457,139,507,147,518,133,435,92,340,79,406,104,322,94,458,109,399,115,470,111,946,142,954,136,650,120,325,99,172,65,85,41
0500000US36099,36099,"Seneca County, New York",13536,287,676,163,638,135,899,180,787,115,608,112,870,163,596,146,708,111,717,140,1157,168,1486,174,1870,190,1111,136,596,119,455,105,362,93
0500000US36101,36101,"Steuben County, New York",40351,456,2384,300,2465,255,2360,209,2194,229,2365,249,2482,241,2122,178,2010,217,1737,165,3596,266,4418,298,4988,363,3137,222,1687,201,1306,157,1100,172
0500000US36103,36103,"Suffolk County, New York",489328,2013,17231,943,12632,890,14566,887,14035,877,14086,787,14796,876,13614,749,14618,901,13376,776,28423,1221,41986,1226,63091,1727,56335,1445,42272,1360,60105,1358,68162,1388
0500000US36105,36105,"Sullivan County, New York",27679,622,1783,249,1579,246,1721,289,1325,275,1286,236,1635,306,1386,234,1160,180,1187,176,2163,309,3017,303,3518,333,2098,262,1397,223,1340,201,1084,172
0500000US36107,36107,"Tioga County, New York",19996,368,820,185,1155,198,1128,172,1059,198,1224,249,1147,216,876,176,642,136,717,158,1637,247,2077,242,2722,289,2126,229,987,164,904,161,775,174
0500000US36109,36109,"Tompkins County, New York",38986,584,4120,482,1915,298,1778,266,1688,283,1752,318,2035,301,1482,263,1599,234,1314,229,3014,355,4022,413,4679,431,2986,301,1859,264,2322,276,2421,255
0500000US36111,36111,"Ulster County, New York",69662,872,3648,457,3880,393,2989,341,3310,336,3381,401,3662,388,2754,378,2859,344,2413,333,5070,410,7704,603,8617,533,6770,561,4256,381,4474,409,3875,367
0500000US36113,36113,"Warren County, New York",27249,406,1213,209,1475,240,1177,186,1233,226,1403,184,1256,189,1267,257,1120,169,1311,213,2111,247,3161,323,3834,365,2738,258,1578,196,1309,210,1063,159
0500000US36115,36115,"Washington County, New York",23988,484,1331,222,1335,246,1079,193,1426,207,1456,222,958,188,1033,198,1436,283,1257,220,2036,229,2771,292,3392,331,2165,244,826,130,972,168,515,117
0500000US36117,36117,"Wayne County, New York",36578,434,1787,274,1791,271,1601,278,1865,278,2060,263,2432,294,1984,267,1689,212,1606,209,3379,295,4261,386,5031,425,3076,299,1664,190,1492,213,860,153
0500000US36119,36119,"Westchester County, New York",345885,1458,16498,871,11801,790,11290,684,12295,868,11217,761,11291,756,10151,661,10340,644,9302,640,19838,999,25934,1040,35953,1259,32508,1328,24873,981,35041,1005,67553,1318
0500000US36121,36121,"Wyoming County, New York",15686,280,751,148,779,141,802,118,901,141,708,113,843,130,783,123,873,157,656,124,1389,163,1998,222,2542,219,1245,144,686,115,516,99,214,74
0500000US36123,36123,"Yates County, New York",9338,316,523,123,499,138,621,157,508,130,480,116,628,129,391,92,410,92,481,92,688,128,942,137,1169,146,821,118,350,89,496,121,331,88
