census_id,geoid,name,hh,hh_moe,hh_lt_10K,hh_lt_10K_moe,hh_10K_to_14999,hh_10K_to_14999_moe,hh_15K_to_19999,hh_15K_to_19999_moe,hh_20K_to_24999,hh_20K_to_24999_moe,hh_25K_to_29999,hh_25K_to_29999_moe,hh_30K_to_34999,hh_30K_to_34999_moe,hh_35K_to_39999,hh_35K_to_39999_moe,hh_40K_to_44999,hh_40K_to_44999_moe,hh_45K_to_49999,hh_45K_to_49999_moe,hh_50K_to_59999,hh_50K_to_59999_moe,hh_60K_to_74999,hh_60K_to_74999_moe,hh_75K_to_99999,hh_75K_to_99999_moe,hh_100K_to_124999,hh_100K_to_124999_moe,hh_125K_to_149999,hh_125K_to_149999_moe,hh_150K_to_199999,hh_150K_to_199999_moe,hh_200K_or_more,hh_200K_or_more_moe
0500000US36001,36001,"Albany County, New York",125376,1057,7079,443,6183,495,5549,531,5589,616,4947,427,5815,572,5400,467,5701,607,4506,517,9882,600,12275,654,15499,785,11908,754,8182,532,8928,517,7933,496
0500000US36003,36003,"Allegany County, New York",18124,359,1212,176,1166,149,1206,143,1122,135,951,117,1006,138,1120,152,1210,171,934,132,1615,146,1955,169,2374,178,1119,121,557,108,318,63,259,59
0500000US36005,36005,"Bronx County, New York",495356,1337,68200,1768,50015,1767,36722,1409,30119,1257,27708,1054,26554,1207,24095,1102,22752,1100,17992,815,35693,1474,40712,1578,45583,1586,28654,1069,14619,828,15078,838,10860,696
0500000US36007,36007,"Broome County, New York",78821,783,6155,505,5034,409,5077,482,4293,316,4201,392,4056,360,4110,403,3521,325,3529,385,6473,504,7968,424,9679,550,6035,436,3505,363,2906,327,2279,235
0500000US36009,36009,"Cattaraugus County, New York",31723,405,2052,231,2297,212,2012,184,2096,205,1803,162,2070,248,1784,167,1589,156,1392,158,2646,239,3308,254,3848,320,2271,214,1232,131,821,126,502,100
0500000US36011,36011,"Cayuga County, New York",31428,469,1856,299,1466,200,1806,237,1503,184,1703,217,1586,204,1684,207,1614,168,1284,209,2654,257,3649,293,4036,285,2975,227,1581,179,1226,137,805,131
0500000US36013,36013,"Chautauqua County, New York",52983,696,4196,401,3833,327,3829,318,3327,325,3191,337,2844,254,2846,287,2763,234,2597,237,4453,316,5319,368,6440,406,3626,280,1744,188,1223,157,752,131
0500000US36015,36015,"Chemung County, New York",34664,539,2653,317,1937,230,1975,291,2002,261,1583,223,1849,266,1762,265,1527,228,1599,243,2881,320,3617,348,4416,332,2746,316,1665,245,1321,240,1131,224
0500000US36017,36017,"Chenango County, New York",20373,328,1217,169,1500,203,1253,173,1324,197,1032,151,1156,190,947,151,1112,173,920,120,1702,192,2499,297,2507,217,1458,175,732,117,644,120,370,90
0500000US36019,36019,"Clinton County, New York",31680,443,2081,284,1677,263,1853,284,1633,249,1831,337,1720,271,1378,264,1605,267,1302,226,2608,302,3679,351,4210,384,2675,249,1262,185,1494,224,672,153
