geoid,hh,low_class,middle_class,upper_class,year
36001,106827,0.31322554360795357,0.5138329191706554,0.17294153722139094,1980
36003,16497,0.39955371235498394,0.5249462629383684,0.07550002470664763,1980
36005,430468,0.5006612674671539,0.40691526921891197,0.09242346331393414,1980
36007,76823,0.32634362462909206,0.5271276963720823,0.1465286789988256,1980
36009,29306,0.38823600222593824,0.5220948183640011,0.0896691794100607,1980
36011,27036,0.34883565921098797,0.5432037430664547,0.10796059772255728,1980
36013,52724,0.36840155189395635,0.5235013165712281,0.1080971315348156,1980
36015,34386,0.35365059704642354,0.5291121291951933,0.11723727375838311,1980
36017,16807,0.37151579850189437,0.5419862615102762,0.0864979399878294,1980
36019,24836,0.3814069126280577,0.5190968123027709,0.09949627506917136,1980
36021,21363,0.3652126150223808,0.5179323578567048,0.11685502712091445,1980
36023,16276,0.38364979813338757,0.518595074050938,0.09775512781567453,1980
36025,16421,0.39251622322768126,0.5187162396462881,0.08876753712603058,1980
36027,80785,0.24869134716302463,0.52525422240428,0.22605443043269535,1980
36029,365177,0.3222219838281676,0.5159084433999432,0.16186957277188918,1980
36031,12876,0.3974525365032266,0.5073892774631561,0.09515818603361725,1980
36033,15123,0.45000556419484156,0.4680461603551542,0.08194827545000433,1980
36035,20153,0.39285678837517396,0.5221577400990141,0.08498547152581204,1980
36037,20110,0.29081636295469,0.5577643409574733,0.15141929608783666,1980
36039,14992,0.4015060607268585,0.4988175795690624,0.09967635970407901,1980
36041,1915,0.44108925613729716,0.5032060459159293,0.05570469794677346,1980
36043,23614,0.3852248335321858,0.5332620284565253,0.08151313801128901,1980
36045,30687,0.4036546556925532,0.5072373378649151,0.0891080064425317,1980
36047,829304,0.46521243389259,0.42891439881316545,0.10587316729424451,1980
36049,8120,0.37155176108493726,0.5398370295109579,0.08861120940410483,1980
36051,18247,0.29489224087352156,0.5657754640792816,0.1393322950471969,1980
36053,20591,0.3336100308300495,0.5401076400574643,0.12628232911248627,1980
36055,252741,0.2578233400520652,0.5033351695658927,0.23884149038204205,1980
36057,19806,0.38582385020820814,0.5250240462535662,0.08915210353822567,1980
36059,423795,0.1609200275716626,0.4619430625906743,0.3771369098376631,1980
36061,706015,0.4098762354024641,0.40591170716228353,0.18421205743525237,1980
36063,80369,0.2977786881517624,0.5450525362297822,0.15716877561845544,1980
36065,87883,0.3526966365337697,0.5304483929675762,0.11685497049865412,1980
36067,165853,0.3020660659545091,0.5260466912383361,0.17188724280715473,1980
36069,30287,0.27841219949909557,0.5689702627339979,0.15261753776690656,1980
36071,84199,0.29011607474643825,0.5431355896097592,0.16674833564380265,1980
36073,13033,0.3052562848701389,0.5452042559534309,0.1495394591764302,1980
36075,37249,0.329110659020084,0.5523830911971157,0.11850624978280022,1980
36077,20276,0.42019097417760537,0.49236711946865136,0.08744190635374333,1980
36079,24416,0.18213245347378007,0.5243427937430657,0.29352475278315426,1980
36081,712342,0.31423718201409917,0.5072668333737089,0.17849598461219185,1980
36083,52662,0.3410622077902949,0.52932798176986,0.1296098104398451,1980
36085,114485,0.23679676795284724,0.5194572751904372,0.24374595685671563,1980
36087,77973,0.17234788178913743,0.4674629446116928,0.3601891735991698,1980
36089,35868,0.4063733989639524,0.4914545498778602,0.1021720511581874,1980
36091,51956,0.26616022670046396,0.5687386248001827,0.16510114849935342,1980
36093,56261,0.3125989115649228,0.5197348728854779,0.16766621554959926,1980
36095,9663,0.3965091395230853,0.5224071622320331,0.0810836982448816,1980
36097,6047,0.35849900726112427,0.5636655491832745,0.07783544355560124,1980
36099,11463,0.30837241603530796,0.5706872523657828,0.12094033159890927,1980
36101,35186,0.35295296226459505,0.5297248837367876,0.11732215399861734,1980
36103,385753,0.2007257031892485,0.5294452121955548,0.2698290846151966,1980
36105,23092,0.42599950424500127,0.4808406941892504,0.09315980156574827,1980
36107,16494,0.29951532192409325,0.5230744879544926,0.17741019012141412,1980
36109,29522,0.37741878612676244,0.4850931419076156,0.13748807196562202,1980
36111,55853,0.34617092667822,0.5077054459023791,0.14612362741940088,1980
36113,19404,0.36650114656890737,0.5169609923423903,0.11653786108870223,1980
36115,17984,0.3642676263356788,0.5492702430071522,0.08646213065716901,1980
36117,28587,0.28574817258289814,0.5595953003104279,0.154656527106674,1980
36119,307350,0.22351735116385688,0.43990949284327363,0.3365731559928695,1980
36121,12801,0.3178541409042132,0.5678666231375264,0.11427923595826028,1980
36123,7819,0.40178480782831455,0.5002597383265222,0.09795545384516324,1980
36001,115901,0.26313463196435694,0.4698450327358332,0.26702033529980984,1990
36003,16955,0.38365423173336927,0.49143409887228545,0.12491166939434523,1990
36005,423191,0.4401592671368089,0.39537025850852076,0.16447047435467038,1990
36007,81730,0.3166361040029367,0.4776121649984995,0.20575173099856386,1990
36009,30410,0.3885655683353831,0.4890691058793854,0.12236532578523157,1990
36011,29066,0.3322234787126681,0.5036917188865392,0.1640848024007927,1990
36013,53667,0.3893529933594208,0.4783233451471531,0.13232366149342606,1990
36015,35184,0.35011762046603473,0.4898560257315991,0.16002635380236613,1990
36017,19195,0.33803379632968616,0.5124688548505989,0.14949734881971488,1990
36019,45627,0.576719838935912,0.3162073889409728,0.10707277212311517,1990
36021,23730,0.3061030643508386,0.4822931158372941,0.2116038198118672,1990
36023,17315,0.3373909771318318,0.5131258852946097,0.14948313757355858,1990
36025,17687,0.3756783579547348,0.4911561127877757,0.13316552925748948,1990
36027,89627,0.1808967813160488,0.4326632507441641,0.3864399679397871,1990
36029,376019,0.3370901177432931,0.4632203795555776,0.19968950270112928,1990
